PMT 5 Efficiency
Run#	1748	1745	1743	1742	1741
HV:	700	725	750	775	800
1	0.563	0.641	0.674	0.878	0.951
2	0.808	0.953	0.967	0.953	0.791
3	0.824	0.962	0.953	0.931	0.740
4	0.304	0.778	0.979	0.971	1.000
5	0.662	0.923	0.974	0.982	1.000
7	0.941	0.981	0.962	0.747	0.667
8	0.985	0.973	0.958	0.806	0.912
9	0.978	0.979	0.976	0.965	1.000
10	0.952	0.991	0.962	0.986	0.980
11	0.969	0.969	0.958	0.900	1.000
12	0.907	0.950	1.000	0.943	0.929
14	0.080	0.404	0.857	0.921	0.429
15	0.821	0.942	0.964	0.940	0.971
16	0.593	0.840	0.939	0.969	0.974
