PMT 13 Efficiency
Run#	1749	1750	1751	1752	1753
HV:	700	725	750	775	800
2	0.200	0.365	0.339	0.483	0.651
3	0.308	0.413	0.488	0.758	0.813
5	0.365	0.534	0.668	0.868	0.703
6	0.456	0.758	0.898	0.833	0.697
7	0.762	0.866	0.985	0.971	0.976
8	0.575	0.846	0.959	0.991	0.980
9	0.855	0.708	0.906	0.962	0.769
10	0.598	0.629	0.802	0.750	0.720
11	0.580	0.629	0.824	0.712	0.818
12	0.303	0.675	0.909	0.966	0.984
13	0.390	0.636	0.894	0.936	0.916
14	0.395	0.706	0.828	0.671	0.789
15	0.308	0.418	0.493	0.600	0.756
16	0.000	0.032	0.097	0.301	0.461
