PMT 2 Efficiency
Run#	1748	1745	1743	1742	1741
HV:	700	725	750	775	800
1	0.259	0.549	0.638	0.731	0.719
2	0.475	0.788	0.841	0.764	0.472
3	0.563	0.769	0.654	0.857	0.607
4	0.532	0.905	0.961	0.952	0.833
5	0.602	0.913	0.990	0.987	0.908
6	0.624	0.917	0.974	0.895	0.612
8	0.827	0.946	0.991	1.000	0.952
9	0.792	0.967	0.977	0.876	0.427
10	0.702	0.883	0.973	0.991	0.564
12	0.759	0.891	0.957	0.872	0.574
13	0.824	0.892	0.949	0.883	0.614
14	0.588	0.874	0.939	0.980	0.920
15	0.639	0.752	0.925	0.952	0.890
16	0.530	0.606	0.853	0.884	0.903
