PMT 12 Efficiency
Run#	1749	1750	1751	1752	1753
HV:	700	725	750	775	800
1	0.656	0.803	0.750	0.805	0.803
3	0.384	0.434	0.667	0.708	0.846
4	0.787	0.931	0.906	0.883	0.909
5	0.982	0.959	0.905	0.770	0.784
7	0.964	0.897	0.833	0.857	1.000
8	0.979	0.964	0.944	0.982	0.972
9	0.956	0.867	0.808	0.850	0.923
10	0.873	0.828	0.818	0.800	0.889
11	0.900	0.800	0.810	0.667	1.000
12	0.974	0.950	0.943	0.944	0.958
13	0.892	0.681	0.467	0.767	0.800
14	0.835	0.738	0.700	0.875	0.833
15	0.607	0.621	0.571	0.833	0.857
16	0.613	0.684	0.729	0.868	0.953
