PMT 6 Efficiency
Run#	1748	1745	1743	1742	1741
HV:	700	725	750	775	800
1	0.235	0.350	0.371	0.403	0.396
2	0.302	0.569	0.663	0.511	0.235
3	0.000	0.000	0.161	0.357	0.000
4	0.536	0.842	0.953	0.667	0.600
5	0.693	0.852	0.942	0.885	0.692
6	0.896	0.973	0.550	0.556	0.619
7	0.936	0.955	0.955	0.591	0.750
8	0.993	0.992	0.988	0.937	0.821
9	0.977	0.963	0.538	0.750	0.500
10	0.914	0.938	1.000	1.000	0.800
11	0.943	0.938	0.636	0.538	0.375
13	0.773	0.932	0.904	0.884	0.704
14	0.768	0.962	0.970	0.928	0.931
16	0.599	0.775	0.842	0.869	0.904
