PMT 10 Efficiency
Run#	1748	1745	1743	1742	1741
HV:	700	725	750	775	800
1	0.530	0.714	0.818	0.881	0.931
2	0.683	0.463	0.714	0.556	0.333
3	0.533	0.792	0.357	0.600	0.500
4	0.904	0.976	0.959	0.982	0.982
5	0.902	0.901	0.674	0.727	0.950
6	0.931	0.873	0.818	0.633	0.576
7	0.915	0.923	0.900	0.538	0.438
8	0.927	0.996	0.981	0.976	0.974
9	0.816	0.948	0.909	0.935	0.912
10	0.976	0.928	0.854	0.683	0.462
11	0.956	0.972	0.907	0.913	1.000
12	0.914	0.992	0.978	0.944	0.964
13	0.935	0.934	0.948	0.989	0.957
15	0.614	0.738	0.862	0.928	0.959
