PMT 14 Efficiency
Run#	1749	1750	1751	1752	1753
HV:	700	725	750	775	800
2	0.636	0.735	0.828	0.836	0.927
3	0.023	0.069	0.421	0.806	0.829
4	0.652	0.813	0.925	0.911	0.722
5	0.804	0.894	0.931	0.832	0.963
6	0.892	0.976	0.978	0.911	0.737
7	0.884	0.949	0.940	0.825	0.836
8	0.958	0.990	0.974	0.913	0.791
9	0.907	0.959	0.934	0.957	0.933
10	0.958	0.970	0.968	0.960	0.930
11	0.949	0.935	0.975	0.942	0.955
12	0.971	0.966	0.934	0.940	0.965
13	0.914	0.890	0.844	0.945	0.972
14	0.628	0.730	0.795	0.879	0.922
16	0.000	0.014	0.106	0.318	0.346
