PMT 11 Efficiency
Run#	1702	1703	1704	1705	1706
HV:	700	725	750	775	800
1	0.942	0.978	0.962	0.965	0.854
2	0.842	0.935	0.907	0.986	0.941
3	0.862	0.923	0.932	0.891	0.766
4	0.908	0.963	0.944	0.906	0.838
5	0.946	0.981	0.967	0.959	0.938
6	0.923	0.989	0.967	0.923	0.690
7	0.915	0.993	0.982	0.972	0.978
8	0.922	0.991	0.986	1.000	0.980
9	0.855	0.936	0.971	0.967	0.995
10	0.913	0.982	0.993	0.949	0.828
11	0.911	0.981	0.968	1.000	1.000
12	0.938	0.997	1.000	1.000	1.000
14	0.995	0.962	0.969	0.985	0.888
15	0.826	0.903	0.898	0.957	0.995
