PMT 2 Efficiency
Run#	1701	1700	1698	1697	1696
HV:	700	725	750	775	800
1	0.502	0.635	0.689	0.767	0.853
2	0.621	0.723	0.785	0.741	0.912
3	0.781	0.927	0.951	0.982	0.918
5	0.673	0.923	0.976	0.976	0.951
6	0.585	0.848	0.955	0.991	0.980
7	0.803	0.916	0.962	0.898	0.924
8	0.903	0.967	0.979	0.954	0.922
9	0.658	0.830	0.904	0.750	0.929
10	0.578	0.844	0.966	0.943	0.868
11	0.882	0.965	0.990	0.962	0.893
12	0.801	0.906	0.980	0.946	0.915
13	0.835	0.967	0.986	0.992	0.910
14	0.594	0.684	0.824	0.929	0.896
15	0.729	0.797	0.849	0.886	0.914
