Comparison of mean adc for PMT 4 before and after resistors.
             (1633)    	       	 	(1691)
Pixel        Mean      Sigma       Mean       Sigma
1	     519.1     103.3	   492.7      106.2
4	     605.1     123.3	   514.8      114.6
5	     413.9     101.2	   495.0      135.6
6	     871.6     224.5	   494.0      132.1
7	     924.2     230.8	   377.2      106.5
8	     707.0     156.1	   379.9      102.4
9	     421.2     99.0	   382.4      94.5
10	     584.3     130.8	   462.1      103.0
11	     565.7     144.2	   459.7      111.6
12	     658.6     159.1	   484.7      160.3
13	     565.6     123.6	   486.9      110.0
14	     920.6     210.0	   463.8      116.4
15	     518.0     118.3	   471.6      105.1
16	     494.9     176.0	   497.8      144.5
