Comparison of mean adc for PMT 6 before and after resistors.
             (1633)    	       	 	   (1683)
Pixel        Mean      Sigma       Mean       Sigma
2	     556.8     218.4	   544.7      176.6
3	     3450.6    829.4	   571.7      168.6
4	     979.1     245.5	   583.3      128.3
5	     825.0     184.4	   541.1      111.9
6	     768.3     148.2	   560.7      119.3
7	     592.9     124.6	   568.4      100.5
8	     716.9     156.9	   562.0      119.8
9	     501.6     111.6	   451.1      87.8
10	     720.2     144.7	   563.6      108.6
11	     652.2     149.9	   576.5      113.0
12	     647.0     126.9	   574.5      98.0
13	     892.3     209.0	   567.6      106.4
15	     929.7     204.6	   545.3      128.5
16	     557.5     139.9	   522.7      145.3
