PMT 5 Efficiency
Run#	1701	1700	1698	1697	1696
HV:	700	725	750	775	800
1	0.733	0.850	0.827	0.804	0.729
2	0.486	0.814	0.880	0.948	0.852
3	0.552	0.767	0.856	0.951	0.738
4	0.067	0.333	0.728	0.938	0.978
6	0.565	0.689	0.953	0.942	0.889
7	0.804	0.869	0.880	0.979	0.679
8	0.833	0.924	0.986	0.981	0.900
9	0.929	0.956	0.962	0.967	0.952
10	0.909	0.955	0.943	0.978	0.792
11	0.927	0.971	0.995	0.919	0.939
12	0.936	0.960	0.964	0.967	0.925
13	0.847	0.921	0.948	0.963	0.967
15	0.728	0.937	0.940	0.922	0.964
16	0.743	0.822	0.783	0.935	0.869
