PMT 8 Efficiency
Run#	1701	1700	1698	1697	1696
HV:	700	725	750	775	800
1	0.771	0.948	0.980	0.975	0.963
2	0.800	0.882	0.905	0.913	0.907
4	0.590	0.728	0.935	0.935	0.973
5	0.941	0.959	0.992	0.957	0.826
6	0.933	0.972	0.954	0.976	0.793
7	0.878	0.951	0.969	0.955	0.929
8	0.755	0.900	0.967	0.952	0.990
9	0.902	0.966	0.989	0.986	0.857
10	0.890	0.967	0.996	0.987	0.894
11	0.840	0.958	0.992	0.964	0.738
12	0.759	0.901	0.995	0.952	0.912
13	0.222	0.573	0.938	0.993	0.948
14	0.699	0.829	0.934	0.966	0.918
15	0.582	0.689	0.873	0.875	0.970
