Comparison of mean adc for PMT 1 before and after resistors.
             (1633)    	       	 	(1695)
Pixel        Mean      Sigma       Mean       Sigma
2	     605.2     163.7	   616.7      163.3
3	     518.8     154.2	   505.1      96.8
4	     646.3     149.9	   588.8      127.7
5	     700.0     153.4	   597.7      142.2
6	     641.0     150.5	   567.8      130.2
7	     697.1     188.6	   579.7      151.1
8	     542.1     134.6	   499.9      154.6
9	     702.0     160.4	   574.6      151.1
11	     855.4     250.1	   613.9      155.7
12	     659.6     158.9	   635.1      137.3
13	     534.2     127.2	   619.0      134.1
14	     789.7     177.1	   618.6      153.3
15	     902.3     233.9	   562.8      122.7
16	     676.2     168.9	   582.8      139.6
