Comparison of mean adc for PMT 12 before and after resistors.
             (1636)    	       	  	 (1678)
Pixel        Mean      Sigma       Mean       Sigma
2	     445.1     99.4	   501.2      104.1
3	     457.7     89.1	   466.9      81.1
5	     713.7     110.5	   459.1      64.5
6	     446.0     76.6	   463.6      80.3
7	     433.8     75.8	   416.8      71.2
8	     482.8     87.7	   504.6      81.9
9	     437.6     70.4	   462.1      75.0
10	     464.8     78.7        492.2      91.7
11	     367.1     72.5    	   423.4      75.9
12	     399.1     83.8	   491.1      91.1
13	     547.0     98.3	   472.3      67.9
14	     375.1     59.7	   343.7      50.0
15	     437.7     72.3	   421.8      66.0
16	     697.1     113.2	   482.4      67.1
