PMT 12 Efficiency
Run#	1702	1703	1704	1705	1706
HV:	700	725	750	775	800
2	0.825	0.808	0.755	0.684	0.614
3	0.963	0.939	0.864	0.927	0.869
5	0.992	1.000	0.976	1.000	1.000
6	0.956	0.886	0.951	0.957	0.955
7	0.962	0.971	0.863	0.980	0.952
8	0.994	0.938	0.913	0.981	0.980
9	0.957	0.977	0.927	0.956	0.958
10	0.943	0.897	0.933	0.906	0.926
11	0.957	0.928	0.906	0.869	0.938
12	0.956	0.981	0.982	0.980	0.976
13	0.975	0.960	0.940	0.930	0.738
14	0.914	0.970	0.929	0.875	0.930
15	0.915	0.909	0.919	0.880	0.892
16	0.987	0.976	0.989	0.975	0.970
