PMT 1 Efficiency
Run#	1701	1700	1698	1697	1696
HV:	700	725	750	775	800
2	0.656	0.732	0.821	0.823	0.710
3	0.821	0.860	0.908	0.928	0.759
4	0.820	0.854	0.965	0.933	0.776
5	0.899	0.945	0.982	0.982	0.824
6	0.783	0.917	0.932	0.882	0.478
7	0.841	0.904	0.969	0.936	0.588
8	0.518	0.869	0.996	0.976	0.983
9	0.892	0.973	0.971	0.922	0.806
11	0.997	0.983	0.985	0.976	0.894
12	0.841	0.878	0.971	0.927	0.732
13	0.451	0.778	0.918	0.974	0.959
14	0.804	0.972	0.971	0.973	0.962
15	0.656	0.908	0.981	0.971	0.960
16	0.648	0.673	0.795	0.842	0.864
