Comparison of mean adc for PMT 3 before and after resistors.
             (1658)    	       	 	(1695)
Pixel        Mean      Sigma       Mean       Sigma
1	     332.9     109.9	   379.5      102.3
2	     494.7     132.9	   357.5      85.6
3	     390.1     109.3	   213.3      73.0
5	     308.9     87.6	   334.0      89.6
6	     492.3     153.6	   362.3      84.5
7	     364.7     86.6	   334.2      86.8
8	     2391.6    677.2	   256.8      77.9
9	     277.7     91.8	   288.7      91.9
10	     374.5     111.1	   351.0      123.0
11	     295.8     92.5	   298.0      95.8
12	     385.8     86.3	   311.8      89.9
13	     373.1     113.6	   363.3      93.2
14	     294.4     83.2	   351.6      104.7
16	     423.7     101.0	   219.5      66.1
