PMT 13 Efficiency
Run#	1702	1703	1704	1705	1706
HV:	700	725	750	775	800
1	0.464	0.860	0.992	0.986	0.978
3	0.571	0.653	0.759	0.946	0.970
4	0.439	0.850	1.000	0.991	0.990
5	0.620	0.840	0.871	0.946	0.938
6	0.712	0.932	0.990	1.000	0.982
7	0.860	0.962	0.992	0.996	1.000
8	0.854	0.956	0.996	0.997	0.978
9	0.876	0.970	0.959	0.974	0.857
10	0.726	0.917	0.951	0.955	0.963
11	0.672	0.842	0.962	0.981	0.942
12	0.565	0.890	0.992	0.990	0.979
13	0.605	0.891	0.989	0.989	0.971
14	0.713	0.891	0.901	0.954	0.939
15	0.858	0.961	0.979	0.981	0.925
