Comparison of mean adc for PMT 8 before and after resistors.
             (1640)    	       	 	(1683)
Pixel        Mean      Sigma       Mean       Sigma
1	     740.3     192.7	   522.6      106.5
2	     577.4     131.5	   538.3      112.7
4	     450.6     107.8	   475.4      91.5
5	     618.5     153.0	   561.8      125.9
6	     618.3     133.8	   539.8      114.0
7	     583.9     132.3	   543.6      125.0
8	     429.5     89.9	   488.4      104.5
9	     655.4     152.1	   529.1      125.9
10	     782.6     180.2	   543.6      105.7
11	     671.8     145.2	   533.7      112.8
12	     661.9     117.6	   540.4      112.6
13	     1922.4    391.3	   546.6      131.0
14	     584.3     120.8	   505.0      102.0
15	     506.2     159.8	   617.8      140.0
