Comparison of mean adc for PMT 10 before and after resistors.
             (1636)    	       	  	 (1695)
Pixel        Mean      Sigma       Mean       Sigma
2	     591.9     190.2	   422.9      98.6
3	     594.4     167.9	   407.7      96.5
5	     607.8     227.6	   442.9      117.8
6	     778.7     298.7	   420.0      152.0
7	     725.9     223.6	   436.7      130.8
8	     584.1     187.9	   456.3      127.6
9	     504.1     140.8	   416.8      129.6
10	     450.7     228.1	   503.2      119.9
11	     453.9     161.0	   410.8      138.9
12	     402.9     105.6	   458.3      119.7
13	     537.4     230.0	   440.0      136.1
14	     450.1     99.9	   382.3      120.7
15	     326.9     78.6	   318.6      128.9
16	     1262.6    439.2	   529.0      141.1
