PMT 9 Efficiency
Run#	1701	1700	1698	1697	1696
HV:	700	725	750	775	800
1	0.770	0.851	0.875	0.850	0.968
2	0.822	0.841	0.944	0.895	0.918
3	0.892	0.938	0.917	0.827	0.867
4	0.875	0.995	1.000	1.000	0.983
5	0.932	0.963	0.888	0.775	1.000
6	0.712	0.941	0.916	0.969	1.000
7	0.905	0.918	0.832	0.763	0.895
8	0.868	0.921	0.868	0.944	0.980
9	0.913	0.984	0.994	0.957	0.933
10	0.842	0.955	0.984	1.000	0.758
11	0.865	0.881	0.954	0.905	0.529
12	0.824	0.962	0.974	0.966	0.952
14	0.629	0.912	0.947	0.947	0.873
15	0.637	0.879	0.942	0.985	0.916
