PMT 14 Efficiency
Run#	1702	1703	1704	1705	1706
HV:	700	725	750	775	800
1	0.579	0.656	0.682	0.731	0.722
2	0.668	0.904	0.905	0.934	0.904
3	0.758	0.974	0.940	0.864	0.807
5	0.810	0.946	0.832	0.949	0.920
6	0.908	0.979	0.978	0.959	0.971
7	0.836	0.946	0.820	0.943	0.898
8	0.890	0.983	0.952	0.884	0.979
9	0.851	0.983	0.954	0.957	0.979
10	0.854	0.969	0.956	0.950	1.000
11	0.902	0.989	0.976	0.916	0.990
12	0.872	0.915	0.962	0.930	0.874
13	0.822	0.903	0.851	0.793	0.966
15	0.605	0.732	0.898	0.929	0.922
16	0.523	0.868	0.933	0.944	0.910
