PMT 14 Efficiency
Run#	1612	1611	1610	1609	1607
HV:	700	725	750	775	800
1	0.704	0.785	0.759	0.807	0.843
2	0.508	0.667	0.742	0.861	0.737
3	0.540	0.742	0.794	0.920	0.200
4	0.823	0.903	0.958	0.921	0.421
5	0.685	0.888	0.964	0.941	0.583
6	0.901	0.986	0.985	0.990	0.562
7	0.828	0.967	0.996	0.898	0.778
8	0.901	0.985	0.990	0.950	0.385
9	0.792	0.938	0.959	0.984	0.679
10	0.874	0.968	0.951	0.938	0.957
11	0.804	0.977	0.962	0.933	0.833
12	0.815	0.932	0.906	0.949	0.640
15	0.746	0.909	0.922	0.934	0.538
16	0.602	0.721	0.772	0.814	0.566
