PMT 12 Efficiency
Run#	1612	1611	1610	1607	1609
HV:	700	725	750	775	800
1	0.152	0.620	0.696	0.750	0.753
2	0.652	0.709	0.683	0.693	0.691
3	0.579	0.596	0.751	0.745	0.677
4	0.831	0.922	0.960	0.977	0.922
5	0.697	0.968	0.975	0.988	0.860
6	0.815	0.853	0.902	0.907	0.441
7	0.714	0.816	0.976	0.943	0.811
8	0.884	0.934	0.984	0.961	0.994
9	0.733	0.784	0.942	0.887	0.789
10	0.736	0.916	0.977	0.987	0.967
12	0.861	0.949	0.969	0.979	0.953
14	0.535	0.651	0.632	0.718	0.750
15	0.501	0.605	0.678	0.750	0.804
16	0.655	0.732	0.800	0.830	0.869
