PMT 2 Efficiency
Run#	1618	1617	1616	1615	1602
HV:	700	725	750	775	800
1	0.301	0.533	0.671	0.774	0.865
2	0.515	0.789	0.962	0.930	0.983
3	0.500	0.778	0.972	1.000	0.993
4	0.880	0.958	0.967	1.000	0.980
5	-nan	-nan	0.545	0.727	0.930
6	0.780	0.881	0.905	0.957	0.962
7	0.814	0.865	0.927	0.920	0.964
8	0.645	0.933	0.975	1.000	0.995
9	0.533	0.870	0.984	1.000	1.000
10	0.852	0.906	0.979	0.976	0.891
11	0.713	0.906	0.962	1.000	0.959
14	0.870	0.961	0.968	0.974	0.929
15	0.520	0.679	0.875	0.938	0.953
16	0.395	0.640	0.731	0.815	0.879
