10:50:07 AM Jan 15, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s1.map
10:50:07 AM Jan 15, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl1.map
10:50:07 AM Jan 15, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_s2m.map
10:50:07 AM Jan 15, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
10:50:07 AM Jan 15, 2013 > INIT TIME:12 (sec)
10:50:07 AM Jan 15, 2013 > Start HV server -> port: 5555
05:26:27 PM Apr 24, 2013 > Begin initialization...

05:26:30 PM Apr 24, 2013 > hatsv9:2006:HVON
05:26:30 PM Apr 24, 2013 > End initialization
05:27:53 PM Apr 24, 2013 > HV monitor started -> hatsv9:2006
05:27:55 PM Apr 24, 2013 > hatsv9:2006:HVON
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
05:27:55 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
05:27:56 PM Apr 24, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
