Comparison of mean adc for PMT 8 before and after resistors.
	      Run 1759 	       	 	Run 1771
Pixel	      Mean	Sigma		Mean	Sigma
1	      760.8	192.3		591.1	186.7
2	      492.3	150.2		505.2	111.7
3	      480.6	115.9		496.6	125.7	
5	      650.3	171.4		603.1	155.9
6	      613.4	159.7		603.3	189.6
7	      503.8	117.3		500.1	123.9
8	      472.1	102.9		456.4	122.5
9	      769.9	176.5		597.0	124.0
10	      682.5	174.7		588.0	130.1
11	      553.8	141.3		589.4	129.4
12	      651.3	201.8		585.3	148.8
13	      2392.7	612.3		629.5	150.0	
14	      621.9	157.4		606.8	165.6
15	      617.5	171.4		562.2	129.7
