Comparison of mean adc for PMT 7 before and after resistors.
	      Run 1759 	       	 	Run 1767
Pixel	      Mean	Sigma		Mean	Sigma
1	      379.1	91.9		366.8	91.7
2	      276.5	69.1		279.0	67.0
3	      285.1	81.9		333.0	68.2
4	      448.1	95.6		358.2	78.7
5	      329.5	81.5		348.3	88.8
6	      434.9	101.6		356.1	78.9
7	      457.3	92.6		358.0	84.2
8	      454.3	92.6		345.6	64.4
9	      509.5	121.6		336.4	86.9
10	      456.9	92.0		370.2	79.6
11	      431.7	87.2		360.7	70.5
12	      344.7	71.6		364.2	76.8
14	      471.4	116.8		349.5	79.0
15	      430.8	116.4		334.4	86.4
