Comparison of mean adc for PMT 9 before and after resistors.
	      Run 1759 	       	 	Run 1771
Pixel	      Mean	Sigma		Mean	Sigma
1	      876.0	221.6		433.6	125.7
2	      707.5	183.3		559.8	152.9
3	      597.5	166.9		568.1	150.9
4	      964.2	240.7		565.8	143.8
6	      578.8	141.1		574.5	132.1
7	      455.6	108.9		485.9	106.9
8	      617.3	146.4		558.5	142.0
9	      897.1	240.1		580.2	160.5
10	      1174.1	310.7		633.1	152.3
11	      1049.1	256.9		565.5	170.3
12	      987.4	217.6		533.0	133.4
13	      1439.7	338.4		602.5	193.4
14	      1580.0	381.0		559.7	196.3
15	      1337.8	350.4		557.0	161.2
