Comparison of mean adc for PMT 6 before and after resistors.
	      Run 1759 	       	 	Run 1767
Pixel	      Mean	Sigma		Mean	Sigma
1	      575.9	144.5		307.1	101.4
2	      426.8	129.3		280.2	89.4
3	      1650.0	407.1		328.8	78.2
4	      575.5	154.5		308.8	77.3
5	      457.3	97.4		304.6	79.5
6	      375.8	99.4		318.2	72.3
7	      311.7	71.7		329.2	75.3
8	      178.6	61.6		190.6	58.5
9	      253.1	60.9		258.8	66.3
10	      424.5	85.6		305.8	69.1
11	      423.0	86.9		315.2	60.8
12	      361.0	70.0		312.8	71.4
13	      465.8	108.6		314.4	69.2
14	      382.5	91.3		309.5	78.4
