Comparison of mean ADC of PMT 8 before and after resistors installed.
	Run 1987	Run 1999
Pixel	Mean	Sigma	Mean	Sigma
1   	336.07 	95.72	327.3	100.5
2   	229.83  56.94	258.6	63.9
3   	194.49	64.09	235.6	51.2
4   	263.3	70.99	287.5	73.66
5   	279.19  63.87	298.3	72.8
7   	233.18	65.23	236.85	71.06
8   	259.85	59.39	310.6	78.56
9   	318.47 	85.43	316.02	75.4
10   	320.25 	70.28	301.5	74.44
11   	247.17	56.27	266.6	61.9
12   	313.73 	69.88	315.7	95.0
14   	269.69	55.1	269.4	76.23
15   	243.15 	56.78	282.45	71.46
16   	2249.7	706.0	353.55	151.4

