Comparison of mean ADC of PMT 3 before and after resistors installed.
	Run 1986	Run 1995
Pixel	Mean	Sigma	Mean	Sigma
1   	294.64  69.66	312.18	81.97
2   	393.32  95.14	322.54	82.1
3   	283.44  76.33	279.6	82.7
4   	304.2   99.95	333.3	83.9
5   	220.19  61.51	241.5	77.7
7   	210.60  61.62	220.3	60.4
8   	287.64  72.81	285.7	72.5
9   	290.38  66.21	302.8	80.2
10   	293.01  63.46	333.27	67.2
11   	269.2	32.4	312.1	103.7
12   	325.41  78.07	308.0	82.4
14   	249.40  58.56	253.0	69.3
15   	334.38  83.54	311.2	72.8
16   	356.58	79.87	300.6	68.0



