Comparison of mean ADC of PMT 12 before and after resistors installed.
	Run 1989	Run 2003
Pixel	Mean	Sigma	Mean	Sigma
1   	478.61 	130.5	292.3	71.3
2   	334.57 	80.10	278.3	67.0
3   	282.95 	70.69	273.9	70.9
5   	368.33 	98.06	295.6	73.96
6   	209.68	56.82	214.67	56.8
7   	176.49	50.65	182.2	48.97
8   	345.23 	93.51	300.1	83.3
9   	227.84	77.98	242.6	66.3
10   	171.83	62.8	190.4	54.75
11   	158.52	51.91	179.2	51.1
12   	291.04 	94.64	314.8	77.2
14   	238.72	62.23	240.4	66.9
15   	309.92 	77.65	286.4	62.3
16   	360.74 	101.3	265.65	81.1
