Comparison of mean ADC of PMT 6 before and after resistors installed.
	Run 1987	Run 2021
Pixel	Mean	Sigma	Mean	Sigma
2   	260.73  140.38	433.74	214
3   	2318.6  621.0	465.2	250
4   	707.94	227.24	377.9	125
5   	448.72  98.53	525.6	125.1
6   	327.57	68.09	661.9	138.7
7   	248.25	60.86	509.8	111.9
8   	480.86	132.62	443.6	94.9
9   	262.77	54.66	391.3	83.6
10   	375.20 	91.15	642.5	221.7
11   	352.93  70.43	549.8	138.3
12   	441.34 	99.15	398.9	136
13   	293.3 	80.75	193.3	82.6
14   	342.51 	76.4	406.6	157.7
15   	732.1	224.6	424.0	132.9
