Comparison of mean ADC of PMT 9 before and after resistors installed.
	Run 1987	Run 1999
Pixel	Mean	Sigma	Mean	Sigma
1   	515.05 	203.65	420.9	246.45
2   	447.16 	111.56	427.7	132.2
3   	495.55 	133.74	504.4	133.6
4   	810.06 	282.72	567.2	157.8
5   	460.42 	154.29	435.2	191.1
6   	259.56 	87.26	268.85	92.5
7   	305.69	89.5	334.8	90.8
8   	474.90 	130.21	465.14	164.9
9   	737.69 	203.47	538.7	163.5
10   	756.51  213.86	506.23	153.14
11   	659.60 	189.65	519.98	132.87
12   	912.95 	320.05	559.55	142.08
14   	1321.8	390.79	548.83	177.7
15   	1221.2	308.12	513.94	166.2

