Comparison of mean ADC of PMT 13 before and after resistors installed.
	Run 1989	Run 2003
Pixel	Mean	Sigma	Mean	Sigma
1   	599.60 	186.5	513.2	128.2
2   	403.95 	93.39	402.6	107.6
4   	631.46 	180.2	503.5	111.7
5   	405.16 	84.60	411.8	83.4
6   	536.87 	177.9	556.4	138.9
7   	362.42 	116.8	383.9	90.9
8   	339.01 	123.9	365.0	94.4
9   	457.03 	142.1	491.6	126.6
10   	328.72 	87.51	350.0	82.2
11   	354.82 	92.72	364.5	112.9
12   	501.65 	150.2	540.4	126.1
14   	474.24 	108.4	465.1	113.5
15   	432.35 	104.1	449.6	110.9
16   	1334.5 	489.5	560.7	191.4
