Comparison of mean ADC of PMT 2 before and after resistors installed.
	Run 1986	Run 1995
Pixel	Mean	Sigma	Mean	Sigma
1   	180.67	48.8	205.3	48.2
2   	218.26 	50.89	237.1	52.5
3   	246.31 	50.90	272.7	52.6
4   	339.60 	52.67	292.8	47.4
5   	392.04 	65.97	284.3	49.3
6   	253.34 	47.72	278.0	45.8
7   	241.34 	38.32	260.95	44.3
8   	349.6 	56.1	281.5	41.5
9   	287.6  	49.25	306.1	60.7
10   	263.55 	37.37	265.4	46.9
11   	294.58 	54.10	294.8	38.6
12   	257.53  52.14	265.0	38.9
13   	247.64 	61.82	255.9	61.99
14   	167.36 	45.12	175.89	50.6


