Comparison of mean ADC of PMT 11 before and after resistors installed.
	Run 1989	Run 2003
Pixel	Mean	Sigma	Mean	Sigma
1   	337.58 	90.43	229.6	133.8
2   	258.79	58.67	282.2	57.9
3   	340.09 	93.66	339.46	83.6
4   	251.29	68.49	260.1	70.2
5   	341.20 	83.89	316.2	89.4
6   	389.58  102.2	307.6	92.8
7   	629.16 	161.8	280.1	64.8
8   	512.65 	142.1	321.2	91.6
9   	236.84	52.85	252.72	63.8
10   	315.31  79.44	311.96	72.5
11   	219.34	79.28	279.05	66.26
12   	649.28	174.7	326.45	87.1
13   	359.4	150.3	360.4	99.95
14   	456.94 	111.6	303.05	73.6
