Run#	1929	1928	1927	1926	1925
PMT 1	700	725	750	775	800
1   	43.5	42.2	42.5	43.9	48.5
2	48.1	47.2	47.5	49.3	54.6
3	38.7	38.7	39.3	40.6	44.5
4	45.4	44.2	44.8	46.1	50.5
5	48.0	47.2	47.5	49.3	53.8
6	36.0	35.5	36.3	37.4	40.9
7	40.1	38.5	38.0	39.0	42.7
8	41.4	40.6	40.9	42.4	45.8
9	49.7	48.4	48.3	49.9	53.8
10	44.8	44.5	45.3	46.4	50.7
11	57.5	53.7	52.1	52.1	54.8
12	44.7	43.7	44.0	45.0	48.3
13	0.0	0.0	0.0	0.0	0.0
14	82.8	60.7	71.3	68.1	70.7
15	83.0	76.4	73.2	71.6	74.7
16	0.0	0.0	0.0	0.0	0.0
