Run#	1981	1980	1977	1976	1973
PMT 6	700	725	750	775	800
1	119.4	114.8	105.1	103.1	93.9
2	55.1	51.8	48.2	45.5	46.3
3	42.6	40.4	596.3	413.4	391.2
4	84.2	58.5	74.3	67.6	61.3
5	54.3	58.1	55.0	50.3	47.1
6	38.3	35.3	33.0	31.9	31.7
7	32.1	30.5	29.4	29.0	29.6
8	29.1	26.1	23.8	22.0	22.7
9	28.1	27.0	26.9	27.1	27.7
10	37.7	35.5	33.6	33.2	33.1
11	31.3	29.6	28.8	28.8	29.5
12	35.7	33.6	32.9	32.7	33.5
13	77.0	73.2	68.6	63.7	57.5
14	44.1	40.8	39.0	38.0	38.4	
15	0	0	0	0	0
16	0	0	0	0	0
