Run#	2031	2032	2033	2034	2035
PMT 2	700	725	750	775	800
1   	48.4	48.0	47.9	48.2	48.9
2	51.9	51.2	50.7	51.2	51.7
3	55.4	54.8	54.8	55.0	55.1
4	53.0	51.2	50.5	50.8	51.3
5	77.9	95.5	90.7	85.6	64.0
6	35.2	35.8	35.7	35.9	36.1
7	35.0	35.4	35.9	36.1	35.8
8	54.7	51.9	49.1	48.5	48.6
9	48.2	48.3	48.9	49.9	50.9
10	32.5	33.3	33.8	34.4	34.8
11	39.7	40.3	40.7	41.6	42.2
12	49.6	49.6	50.0	50.8	51.4
13	60.3	59.8	58.9	58.7	58.2
14	40.6	40.2	39.5	39.4	39.2
15	0	0	0	0	0
16	0	0	0	0	0

