Run#	1702	1703	1704	1705	1706
PMT 12	700	725	750	775	800
1	0.0	0.0	0.0	0.0	0.0
2	58.4	59.7	60.1	61.3	60.5
3	42.2	42.3	43.6	43.0	42.6
4	0.0	0.0	0.0	0.0	0.0
5	93.8	86.7	78.3	75.2	69.0
6	39.0	39.8	39.0	38.9	37.5
7	35.4	35.4	37.4	34.5	34.0
8	41.7	41.7	42.9	41.9	41.1
9	37.1	38.0	38.9	38.0	37.6
10	34.3	35.2	35.3	34.8	34.0
11	28.1	28.7	28.0	27.9	27.7
12	36.2	37.4	38.9	37.2	36.0
13	75.2	70.4	66.1	65.9	66.1
14	51.6	49.3	49.5	48.4	48.2
15	53.5	51.4	53.7	51.3	51.3
16	95.2	89.0	80.9	77.3	75.4
