PMT 14 Efficiency
Run#	1367	1365	1363	1364	1368
HV:	700	725	750	775	800
1	0.346	0.472	0.602	0.652	0.730
2	0.386	0.667	0.874	0.839	0.860
3	0.495	0.756	0.934	0.823	0.733
4	0.406	0.768	0.939	0.958	0.963
5	0.614	0.878	0.983	0.932	0.947
6	0.698	0.929	0.971	0.979	0.975
7	0.665	0.888	0.975	0.957	0.909
8	0.678	0.903	0.977	0.978	0.982
9	0.811	0.945	0.945	0.940	0.889
10	0.860	0.980	0.993	0.934	0.895
11	0.818	0.969	1.000	0.959	0.968
12	0.796	0.930	0.978	0.986	0.980
14	0.721	0.809	0.805	0.879	0.872
15	0.799	0.766	0.876	0.886	0.933
