PMT 4 Efficiency
Run#	1396	1395	1392	1393	1394
HV:	700	725	750	775	800
2	0.667	0.574	0.827	0.973	0.986
3	0.748	0.924	0.978	0.948	0.957
4	0.861	0.872	0.921	0.939	0.932
5	0.826	0.962	0.976	0.978	0.917
6	0.494	0.832	0.982	0.995	0.984
7	0.486	0.830	0.967	0.995	0.917
8	0.869	0.970	0.975	0.979	0.969
9	0.706	0.796	0.893	0.938	0.959
10	0.918	0.981	0.980	0.995	1.000
11	0.894	0.974	0.994	0.988	0.969
12	0.646	0.907	0.988	0.996	0.949
14	0.365	0.770	0.974	0.992	0.985
15	0.854	0.912	0.953	0.964	0.975
16	0.858	0.944	0.953	0.969	0.983
