Comparison of mean ADC of PMT 9 before and after resistors installed.
	Run 1943	Run 1958
Pixel	Mean	Sigma	Mean	Sigma
1	344.24	100.1	339.9	101.9
2	368.3	103.9	315.3	91.9
3	258.2	74.3	288.4	65.9	
4	471.4	149.3	308.2	95.9
5	271.7	92.9	294.1	74.7
7	209.7	58.6	226.8	57.8
8	307.0	85.2	333.5	100.1
9	460.8	105.3	303.3	79.5
10	433.3	96.3	340.0	98.1
11	500.8	151.1	307.3	95.2
12	450.1	150.3	341.9	118.8
13	975.8	231.0	310.3	89.5
14	928.2	221.9	261.9	119.9
15	914.3	233.2	271.9	142.5
