Comparison of mean ADC of PMT 2 before and after resistors installed.
	Run 1941	Run 1953
Pixel	Mean	Sigma	Mean	Sigma
1	134.8	61.0	148.6	55.5
2	228.8	92.9	240.8	93.4
3	281.6	79.6	248.6	71.5
4	259.8	88.9	255.2	80.7
6	161.4	61.3	174.0	57.4
7	245.0	53.6	258.1	52.9
8	321.0	80.7	256.1	69.9
9	213.4	61.7	209.5	64.2
10	156.2	58.6	172.4	49.9
11	219.2	93.5	276.6	85.3
12	333.0	95.1	243.6	65.1
13	348.0	107.0	244.4	78.5
14	222.8	103.8	250.0	82.8
15	200.4	78.9	226.6	71.1
