Comparison of mean ADC of PMT 12 before and after resistors installed.
	Run 1958	Run 1663
Pixel	Mean	Sigma	Mean	Sigma	
1	666.8	189.4	267.5	68.0
2	322.5	85.8	255.8	76.7
3	199.2	49.4	207.8	50.4
4	245.1	69.1	254.1	73.2
5	340.9	87.0	265.8	70.4
6	263.6	63.7	268.3	69.2
7	180.7	45.6	192.0	47.1
8	242.2	61.7	251.5	67.0
9	193.1	58.0	204.9	61.1
10	215.8	56.4	222.2	68.2
11	203.3	54.1	214.7	51.0
12	303.9	75.0	260.4	65.4
14	351.7	91.5	269.0	69.5
15	403.4	96.5	261.5	89.5
	
