Comparison of mean ADC of PMT 1 before and after resistors installed.
	Run 1941	Run 1951
Pixel	Mean	Sigma	Mean	Sigma
2	232.3	73.3	244.2	90.2
3	224.8	64.9	221.7	60.7
4	330.4	81.4	254.4	82.8
5	303.1	84.0	272.9	87.3
6	237.8	70.9	235.7	58.7
7	270.9	75.3	273.5	63.0
8	247.8	75.8	245.7	57.9
9	249.2	80.4	266.8	65.1
10	267.0	91.6	278.6	74.3
11	218.9	93.9	238.9	95.5
12	225.0	79.0	218.8	72.2
13	183.6	61.1	196.2	57.7
15	252.8	77.0	261.9	76.2
16	215	100	250	100
