Comparison of mean ADC of PMT 6 before and after resistors installed.
	Run 1941	Run 1953
Pixel	Mean	Sigma	Mean	Sigma
1	527.4	161.6	330.3	90.9
2	305.0	88.9	273.2	76.8	
3	1731.0	410.7	537.4	174.3
4	368.1	93.6	285.0	75.6
5	356.3	79.1	265.5	75.1
6	279.8	71.2	277.3	72.5
7	229.4	55.7	238.5	65.9
8	224.7	67.0	250.1	54.7
9	249.9	73.5	260.1	70.7
10	297.1	88.6	292.0	77.8
11	242.0	63.5	256.6	63.0
12	250.1	66.4	268.8	71.7
13	515.9	116.4	330.0	81.6
14	290.3	79.5	281.8	90.8
