Comparison of mean ADC of PMT 4 before and after resistors installed.
	Run 1941	Run 1959
Pixel	Mean	Sigma	Mean	Sigma
1	410.9	112.8	350.8	116.1
2	1230.8	317.5	470.4	145.2
3	454.9	141.6	388.7	92.7
4	595.9	127.0	519.3	136.2
5	365.7	95.2	318.5	82.1
6	773.1	203.6	498.5	11.6
7	820.9	249.7	459.1	119.1
8	594.7	162.9	525.1	172.3
9	387.2	116.1	344.3	82.4
10	456.3	112.9	384.2	91.2
11	515.2	120.6	480.4	119.8
12	740.4	204.9	487.1	115.3
14	833.1	252.4	503.0	145.0
15	464.7	136.0	379.4	105.4
