Comparison of mean ADC of PMT 6 before and after resistors installed.
	Run 1941	Run 1959
Pixel	Mean	Sigma	Mean	Sigma
1	527.4	161.6	331.2	84.0
2	305.0	88.9	268.2	88.1	
3	1731.0	410.7	440.6	133.5
4	368.1	93.6	277.2	73.1
5	356.3	79.1	266.1	80.8
6	279.8	71.2	275.2	66.8
7	229.4	55.7	240.8	72.4
8	224.7	67.0	240.3	56.0
9	249.9	73.5	245.0	80.9
10	297.1	88.6	296.5	59.4
11	242.0	63.5	249.7	56.9
12	250.1	66.4	262.7	66.3
13	515.9	116.4	322.2	87.6
14	290.3	79.5	286.1	84.8
