Comparison of Mean ADCs for PMT3 before and after resistors
             (1558)	    	(1562)
Pixel        Mean   Sigma       Mean   Sigma
2            615.8  208.4	337.1  90.1
3            623.7  109.1	295.9  68.2
4            559.3  116.0	347.5  78.8
5            473.2  103.6	335.1  68.5
6            762.7  146.6	328.4  79.7
7            495.9  104.5	335.6  68.0
8            286.6  70.1	343.9  83.6
9            263.8  77.8	312.0  86.0
10           710.0  141.5	339.1  80.0
11           3684.2 744.6	339.3  63.5
12           510.0  111.2	344.6  65.6
14           419.5  87.7	322.1  67.5
15           539.3  118.3	334.0  66.4
16           495.9  128.0	337.4  92.7
