PMT 3 Efficiency
Run#	1579	1581	1585	1586	1587
HV:	700	725	750	775	800
2	0.621	0.866	0.932	0.948	0.916
3	0.706	0.809	0.876	0.840	0.700
4	0.759	0.839	0.880	0.945	0.906
5	0.732	0.882	0.923	0.976	0.952
6	0.825	0.940	0.973	0.950	0.733
7	0.917	0.974	0.987	1.000	0.941
8	0.750	0.814	0.953	0.941	0.910
9	0.806	0.886	0.976	0.962	0.931
10	0.919	0.990	0.989	0.800	0.600
11	0.874	0.938	0.978	0.932	0.643
12	0.854	0.923	0.958	0.982	0.875
14	0.780	0.834	0.965	0.982	0.961
15	0.790	0.898	0.961	0.974	0.888
16	0.876	0.960	0.997	0.992	0.933
