PMT 11 Efficiency
Run#	1578	1575	1574	1573	1566
HV:	700	725	750	775	800
1	0.809	0.821	0.926	0.953	0.980
2	0.860	0.929	0.934	0.965	0.917
3	0.945	0.968	0.968	0.984	0.943
4	0.888	0.942	0.951	0.964	0.980
5	0.957	0.937	0.984	0.973	1.000
6	0.955	0.984	0.988	0.973	0.778
7	0.837	0.967	1.000	0.909	0.750
8	0.810	0.994	1.000	1.000	0.917
9	0.968	0.990	0.986	0.955	0.938
11	0.940	0.957	0.970	0.896	0.935
13	0.982	0.972	0.952	0.976	1.000
14	0.984	0.991	0.988	1.000	1.000
15	0.911	0.973	0.969	0.930	0.978
16	0.825	0.887	0.925	0.966	0.970
