PMT 1 Efficiency
Run#	1579	1581	1585	1586	1587
HV:	700	725	750	775	800
1	-nan	-nan	0.943	0.954	0.975
2	0.911	0.949	0.932	0.946	0.970
3	0.972	0.935	0.944	0.965	0.972
4	0.979	0.974	0.956	0.981	0.958
5	0.997	0.995	0.954	0.977	0.933
7	0.991	0.986	0.973	0.958	0.875
8	0.984	0.986	0.968	0.982	0.882
9	0.985	0.984	0.966	0.969	0.905
10	0.982	0.965	0.927	0.956	0.914
11	0.977	0.996	0.970	0.986	0.870
12	0.982	0.975	0.955	0.979	1.000
14	0.975	0.965	0.968	0.993	0.917
15	0.952	0.960	0.987	0.976	0.930
16	0.805	0.873	0.874	0.946	0.952
