Comparison of mean for PMT 9 before and after resistors installed.
	   (1865)      	     	    	(1878)	
Pixel	   Mean		Sigma		Mean		Sigma
2	   913		235		837		207
3	   1042		195		973		205
4	   1256		229		949		197
5	   1302		247		966		144
6	   810		160		749		158
8	   768		153		785		148
9	   1534		345		1020		181
10	   1768		561		953		190
11	   1741		350		965		182
12	   1526		510		952		191
13	   2642		541		955		168
14	   2692		528		915		178
15	   2486		469		786		196
16	   4423		115		776		200
