PMT 8 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.542	0.533	0.633	0.723	0.848
2	0.396	0.629	0.847	0.871	0.570
3	0.570	0.766	0.882	0.947	0.957
4	0.593	0.740	0.944	0.967	0.905
5	0.745	0.831	0.938	0.990	0.979
7	0.675	0.788	0.972	0.985	0.957
8	0.584	0.887	0.964	0.987	0.994
9	0.593	0.838	0.971	0.987	0.966
10	0.705	0.908	0.958	0.987	0.974
11	0.681	0.810	0.981	0.970	0.912
12	0.647	0.867	0.948	0.972	0.980
14	0.656	0.806	0.915	0.948	0.957
15	0.403	0.567	0.738	0.820	0.911
16	1.000	1.000	0.989	0.172	0.417
