PMT 1 Efficiency
Run#	2031	2032	2033	2034	2035
HV:	700	725	750	775	800
1	0.599	0.663	0.766	0.845	0.894
2	0.773	0.843	0.897	0.892	0.831
3	0.821	0.894	0.929	0.918	0.977
4	0.956	0.934	0.976	0.967	0.952
5	0.933	0.906	0.931	0.943	0.860
6	0.914	0.954	0.947	0.849	0.783
7	0.891	0.980	0.952	0.919	0.800
8	0.915	0.947	0.982	0.952	0.908
10	0.890	0.933	0.986	0.906	0.798
11	0.898	0.960	0.937	0.690	0.922
12	0.733	0.884	0.982	0.952	0.895
14	0.854	0.918	0.920	0.835	0.970
15	0.803	0.831	0.896	0.862	0.797
16	0.534	0.631	0.804	0.843	0.885
