Run#	1702	1703	1704	1705	1706
PMT 11	700	725	750	775	800
1	71.1	66.4	64.8	60.7	57.2
2	43.4	40.8	40.1	39.3	39.0
3	58.4	52.7	58.3	49.9	48.0
4	49.9	47.0	48.8	45.7	44.6
5	72.7	68.1	68.9	60.1	56.4
6	75.6	69.1	63.9	62.5	61.4
7	122.4	117.4	111.0	100.5	93.1
8	110.1	104.3	104.7	86.2	80.2
9	35.6	33.5	33.9	32.5	32.8
10	54.4	50.4	48.2	45.5	42.1
11	28.1	26.7	26.7	25.4	24.9
12	-122.0	-136.1	-153.8	-172.0	-177.9
13	0.0	0.0	0.0 	0.0 	0.0
14	40.0	74.6	73.2	64.0	60.5
15	49.7	47.1	465 	45.2	44.7
16	0.0	0.0  	0.0  	0.0  	0.0
