PMT 12 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.091	0.406	0.633	0.737	0.773
2	0.389	0.774	0.858	0.892	0.788
3	0.543	0.588	0.855	0.888	0.704
5	0.665	0.904	0.961	0.975	0.955
6	0.791	0.912	0.991	0.979	0.967
7	0.753	0.899	0.989	0.981	0.970
8	0.809	0.951	0.982	0.978	0.923
9	0.680	0.877	0.983	0.968	0.957
10	0.680	0.915	0.993	0.968	0.966
11	0.665	0.916	0.977	0.980	0.972
12	0.762	0.902	0.965	0.967	0.956
14	0.564	0.843	0.949	0.958	0.940
15	0.595	0.724	0.855	0.935	0.923
16	0.405	0.706	0.798	0.868	0.880
