PMT 6 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
2	0.599	0.713	0.762	0.807	0.886
3	-nan	-nan	-nan	0.000	0.000
4	0.731	1.000	0.969	0.961	0.982
5	0.939	0.939	0.924	0.904	0.913
6	0.908	0.509	0.804	0.648	0.609
7	0.977	0.959	0.930	0.985	0.948
8	0.991	0.996	0.992	0.995	0.994
9	0.987	0.952	0.924	0.932	0.831
10	0.937	0.930	0.831	0.938	1.000
11	0.954	0.898	0.944	0.911	0.957
12	0.966	0.995	0.987	0.991	0.984
13	0.000	0.000	0.000	0.001	0.005
14	0.816	0.851	0.883	0.865	0.978
15	0.690	0.762	0.797	0.816	0.924
