PMT 2 Efficiency
Run#	2031	2032	2033	2034	2035
HV:	700	725	750	775	800
1	0.505	0.574	0.732	0.846	0.844
2	0.604	0.739	0.832	0.888	0.925
3	0.846	0.865	0.937	0.953	0.977
4	0.931	0.964	0.970	0.907	0.962
5	0.978	0.984	1.000	0.975	0.973
6	0.956	0.961	0.946	0.955	0.955
7	0.966	0.959	0.985	0.965	0.977
8	0.986	0.960	0.987	0.963	0.983
9	0.943	0.940	0.961	0.971	0.982
10	0.937	0.942	0.935	0.903	0.979
11	0.865	0.927	0.941	0.966	0.944
12	0.806	0.905	0.954	0.977	0.949
13	0.715	0.757	0.821	0.908	0.877
14	0.637	0.702	0.807	0.809	0.920
