PMT 5 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.000	0.000	0.000	0.004	0.009
2	0.373	0.577	0.686	0.739	0.830
4	0.053	0.392	0.720	0.827	0.897
5	0.591	0.808	0.916	0.983	0.953
6	0.842	0.974	0.979	1.000	1.000
7	0.721	0.951	0.984	0.995	0.994
8	0.680	0.870	0.988	0.973	0.973
9	0.955	0.972	0.997	1.000	0.995
10	0.913	0.961	0.994	1.000	0.995
11	0.924	0.979	0.997	0.988	0.978
12	0.806	0.943	0.944	0.976	0.996
14	-nan	0.200	0.213	0.397	0.781
15	0.679	0.777	0.958	0.964	0.984
16	-nan	0.016	0.000	0.023	0.041
